ACCIDENT_NO,NODE_ID,NODE_TYPE,AMG_X,AMG_Y,LGA_NAME,LGA NAME ALL,DEG_URBAN_NAME,LATITUDE,LONGITUDE,POSTCODE_CRASH
T20160023381,311782,N,2442566.553,2377578.072,GEELONG,GEELONG,LARGE_PROVINCIAL_CITIES,-38.10134,144.345216,3215
T20160023382,309952,N,2507868.693,2430132.589,WHITTLESEA,WHITTLESEA,MELB_URBAN,-37.629579,145.089149,3752
T20160023389,40762,I,2513369.715,2405357.781,WHITEHORSE,WHITEHORSE,MELB_URBAN,-37.852745,145.151921,3151
T20160023392,29416,I,2495963.112,2409105.004,MELBOURNE,MELBOURNE,MELB_URBAN,-37.81907,144.954149,3008
T20160023392,29416,I,2495963.112,2409105.004,MELBOURNE,MELBOURNE,MELBOURNE_CBD,-37.81907,144.954149,3008
T20160023393,310010,I,2424974.983,2521923.368,BENDIGO,BENDIGO,RURAL_VICTORIA,-36.799434,144.159202,3551
T20160023396,313795,N,2262511.582,2422777.158,SOUTHERN GRAMPIANS,SOUTHERN GRAMPIANS,RURAL_VICTORIA,-37.665629,142.307709,3294
T20160023398,312652,N,2498138.742,2453572.846,MITCHELL,MITCHELL,TOWNS,-37.41839,144.978971,3756
T20160023400,311043,N,2502849.899,2426139.273,WHITTLESEA,WHITTLESEA,MELB_URBAN,-37.66559,145.032304,3075
T20160023401,358467,N,2472284.035,2402541.772,WYNDHAM,WYNDHAM,MELB_URBAN,-37.8778,144.684956,3029
T20160023402,310769,N,2522826.764,2403101.351,KNOX,KNOX,MELB_URBAN,-37.872891,145.259452,3156
T20160023403,309984,N,2503185.842,2396443.4,GLEN EIRA,GLEN EIRA,MELB_URBAN,-37.933152,145.03624,3204
T20160023404,43078,I,2519154.655,2390265.154,DANDENONG,DANDENONG,MELB_URBAN,-37.988622,145.218049,3175
T20160023405,57705,I,2410640.874,2329189.752,SURF COAST,SURF COAST,TOWNS,-38.534658,143.975325,3232
T20160023409,66159,I,2496599.18,2409003.24,MELBOURNE,MELBOURNE,MELB_URBAN,-37.819989,144.961373,3000
T20160023411,358692,N,2249802.632,2409013.112,SOUTHERN GRAMPIANS,SOUTHERN GRAMPIANS,RURAL_VICTORIA,-37.786268,142.159062,3301
T20160023412,320165,N,2601791.963,2430173.406,YARRA RANGES,YARRA RANGES,RURAL_VICTORIA,-37.623689,146.153201,3723
T20160023413,38045,I,2501597.606,2413561.533,DAREBIN,DAREBIN,MELB_URBAN,-37.778923,145.018136,3078
T20160023415,309978,N,2520633.341,2364434.575,MORNINGTON PENINSULA,"CASEY,MORNINGTON PENINSULA",RURAL_VICTORIA,-38.221293,145.235609,3912
T20160023416,286779,I,2482045.869,2414471.718,BRIMBANK,BRIMBANK,MELB_URBAN,-37.770551,144.796207,3022
T20160023420,310039,N,2489331.005,2480017.757,MITCHELL,MITCHELL,RURAL_VICTORIA,-37.18002,144.879838,3764
T20160023425,313590,N,2531968.076,2411479.775,YARRA RANGES,YARRA RANGES,MELB_URBAN,-37.797133,145.36299,3796
T20160023426,359406,N,2524026.52,2384147.865,CASEY,CASEY,MELB_URBAN,-38.043621,145.273708,3976
T20160023427,310335,N,2509753.547,2397059.25,KINGSTON,"KINGSTON,MONASH",MELB_URBAN,-37.927557,145.110941,3169
T20160023428,310008,N,2513336.11,2405390.055,WHITEHORSE,WHITEHORSE,MELB_URBAN,-37.852455,145.151539,3151
